timestamp,end_to_end_latency_ms,inference_latency_ms,end_to_end_fps,inference_fps
2026-05-26 20:36:49.794,95.077,81.2,9.601,9.6
2026-05-26 20:36:49.896,92.447,79.835,9.599,9.596
2026-05-26 20:36:49.999,91.774,78.822,9.601,9.599
2026-05-26 20:36:50.101,91.642,78.11,9.602,9.605
2026-05-26 20:36:50.204,93.313,80.487,9.602,9.598
2026-05-26 20:36:50.306,91.489,78.667,9.606,9.603
2026-05-26 20:36:50.419,101.478,88.207,9.577,9.577
2026-05-26 20:36:50.521,92.285,79.625,9.578,9.574
2026-05-26 20:36:50.624,92.848,79.0,9.577,9.577
2026-05-26 20:36:50.726,91.705,79.059,9.581,9.578
2026-05-26 20:36:50.830,94.323,80.945,9.585,9.584
2026-05-26 20:36:50.945,103.909,90.441,9.55,9.546
2026-05-26 20:36:51.048,91.194,78.119,9.577,9.579
2026-05-26 20:36:51.150,91.176,78.395,9.581,9.579
2026-05-26 20:36:51.251,91.487,78.707,9.58,9.581
2026-05-26 20:36:51.355,91.945,78.466,9.6,9.601
2026-05-26 20:36:51.457,91.34,78.596,9.604,9.602
2026-05-26 20:36:51.559,91.646,79.025,9.609,9.605
2026-05-26 20:36:51.661,92.14,79.54,9.613,9.61
2026-05-26 20:36:51.766,94.75,81.744,9.612,9.616
2026-05-26 20:36:51.869,92.302,79.67,9.62,9.619
2026-05-26 20:36:51.972,92.2,79.689,9.625,9.622
2026-05-26 20:36:52.079,96.672,83.326,9.612,9.613
2026-05-26 20:36:52.181,92.073,79.401,9.617,9.612
2026-05-26 20:36:52.284,91.945,79.103,9.618,9.617
2026-05-26 20:36:52.387,92.24,79.617,9.614,9.619
2026-05-26 20:36:52.496,97.879,85.526,9.594,9.597
2026-05-26 20:36:52.600,92.208,79.716,9.624,9.63
2026-05-26 20:36:52.702,91.871,79.604,9.621,9.624
2026-05-26 20:36:52.808,94.867,82.565,9.62,9.62
2026-05-26 20:36:52.910,91.361,78.44,9.624,9.625
2026-05-26 20:36:53.012,91.706,79.062,9.622,9.625
2026-05-26 20:36:53.115,91.653,78.954,9.62,9.622
2026-05-26 20:36:53.218,92.172,79.33,9.624,9.625
2026-05-26 20:36:53.322,92.772,80.063,9.617,9.62
2026-05-26 20:36:53.423,92.192,79.502,9.652,9.647
2026-05-26 20:36:53.528,93.155,79.836,9.643,9.65
2026-05-26 20:36:53.635,96.367,83.701,9.631,9.631
2026-05-26 20:36:53.741,93.967,80.108,9.618,9.627
2026-05-26 20:36:53.846,93.477,81.191,9.617,9.622
2026-05-26 20:36:53.949,92.196,79.521,9.655,9.655
2026-05-26 20:36:54.053,92.964,80.106,9.651,9.65
2026-05-26 20:36:54.157,92.974,80.807,9.644,9.645
2026-05-26 20:36:54.260,92.973,80.402,9.64,9.64
2026-05-26 20:36:54.363,91.762,78.792,9.643,9.642
2026-05-26 20:36:54.466,92.042,79.858,9.639,9.639
2026-05-26 20:36:54.569,91.723,78.559,9.635,9.638
2026-05-26 20:36:54.670,91.536,79.007,9.637,9.637
2026-05-26 20:36:54.774,94.428,81.76,9.64,9.637
2026-05-26 20:36:54.877,92.148,79.135,9.643,9.64
2026-05-26 20:36:54.981,93.987,80.913,9.64,9.638
2026-05-26 20:36:55.084,92.118,79.434,9.649,9.653
2026-05-26 20:36:55.187,92.299,79.482,9.646,9.649
2026-05-26 20:36:55.289,91.344,78.727,9.649,9.649
2026-05-26 20:36:55.393,92.608,80.319,9.648,9.647
2026-05-26 20:36:55.499,92.06,79.576,9.656,9.667
2026-05-26 20:36:55.602,92.119,80.087,9.659,9.656
2026-05-26 20:36:55.703,91.7,79.3,9.663,9.66
2026-05-26 20:36:55.810,96.037,82.065,9.662,9.662
2026-05-26 20:36:55.913,91.91,79.239,9.656,9.659
2026-05-26 20:36:56.015,91.981,79.253,9.658,9.656
2026-05-26 20:36:56.119,91.839,79.103,9.656,9.658
2026-05-26 20:36:56.221,91.624,79.312,9.655,9.656
2026-05-26 20:36:56.325,92.246,79.586,9.657,9.657
2026-05-26 20:36:56.426,91.587,78.51,9.658,9.661
2026-05-26 20:36:56.530,92.409,79.627,9.662,9.66
2026-05-26 20:36:56.632,92.05,79.436,9.679,9.676
2026-05-26 20:36:56.737,92.705,78.832,9.682,9.683
2026-05-26 20:36:56.847,101.027,88.55,9.661,9.657
2026-05-26 20:36:56.952,92.96,79.45,9.656,9.66
2026-05-26 20:36:57.054,92.196,80.012,9.663,9.657
2026-05-26 20:36:57.158,92.094,79.375,9.663,9.666
2026-05-26 20:36:57.261,92.404,79.625,9.664,9.666
2026-05-26 20:36:57.364,92.2,79.558,9.663,9.662
2026-05-26 20:36:57.466,92.417,79.799,9.665,9.662
2026-05-26 20:36:57.570,92.473,78.875,9.661,9.664
2026-05-26 20:36:57.673,91.815,79.554,9.657,9.66
2026-05-26 20:36:57.778,93.975,81.521,9.655,9.659
2026-05-26 20:36:57.881,91.639,78.788,9.654,9.658
2026-05-26 20:36:57.984,92.077,79.427,9.657,9.659
2026-05-26 20:36:58.086,91.727,79.344,9.659,9.659
2026-05-26 20:36:58.189,91.863,78.804,9.661,9.663
2026-05-26 20:36:58.292,92.178,79.77,9.658,9.657
2026-05-26 20:36:58.396,92.42,79.982,9.657,9.659
2026-05-26 20:36:58.502,94.975,82.72,9.659,9.648
2026-05-26 20:36:58.603,92.226,79.831,9.662,9.658
2026-05-26 20:36:58.708,92.866,80.34,9.651,9.658
2026-05-26 20:36:58.811,93.346,80.926,9.662,9.658
2026-05-26 20:36:58.915,92.871,80.039,9.658,9.659
2026-05-26 20:36:59.017,91.752,78.938,9.659,9.66
2026-05-26 20:36:59.121,92.386,79.552,9.659,9.657
2026-05-26 20:36:59.224,92.219,79.546,9.657,9.658
2026-05-26 20:36:59.328,92.253,79.349,9.656,9.658
2026-05-26 20:36:59.430,92.267,79.938,9.655,9.653
2026-05-26 20:36:59.531,91.612,78.709,9.661,9.658
2026-05-26 20:36:59.636,92.48,78.993,9.653,9.662
2026-05-26 20:36:59.742,95.015,82.139,9.65,9.645
2026-05-26 20:36:59.851,99.305,86.526,9.654,9.656
2026-05-26 20:36:59.955,91.941,79.314,9.659,9.656
2026-05-26 20:37:00.058,92.029,79.388,9.656,9.66
2026-05-26 20:37:00.161,92.489,79.297,9.656,9.656
2026-05-26 20:37:00.264,91.927,79.668,9.655,9.656
2026-05-26 20:37:00.367,91.605,78.919,9.656,9.657
2026-05-26 20:37:00.470,91.662,78.77,9.654,9.66
2026-05-26 20:37:00.574,92.476,80.089,9.656,9.652
2026-05-26 20:37:00.677,92.345,79.71,9.653,9.654
2026-05-26 20:37:00.790,101.58,88.876,9.629,9.629
2026-05-26 20:37:00.893,91.881,79.18,9.628,9.628
2026-05-26 20:37:00.995,92.328,79.523,9.63,9.628
2026-05-26 20:37:01.097,92.216,79.664,9.632,9.628
2026-05-26 20:37:01.199,92.052,79.063,9.633,9.628
2026-05-26 20:37:01.304,93.121,79.209,9.628,9.633
2026-05-26 20:37:01.405,91.522,79.16,9.636,9.631
2026-05-26 20:37:01.509,91.771,78.836,9.644,9.646
2026-05-26 20:37:01.611,92.891,79.376,9.641,9.645
2026-05-26 20:37:01.714,92.3,79.622,9.649,9.643
2026-05-26 20:37:01.818,93.831,80.722,9.645,9.647
2026-05-26 20:37:01.922,92.515,79.165,9.645,9.647
2026-05-26 20:37:02.025,92.405,80.083,9.642,9.642
2026-05-26 20:37:02.128,91.772,79.38,9.643,9.643
2026-05-26 20:37:02.232,93.169,80.427,9.64,9.641
2026-05-26 20:37:02.335,92.034,79.733,9.643,9.64
2026-05-26 20:37:02.438,92.35,79.91,9.639,9.643
2026-05-26 20:37:02.552,102.72,90.307,9.602,9.604
2026-05-26 20:37:02.655,92.119,79.738,9.607,9.601
2026-05-26 20:37:02.760,94.555,82.354,9.609,9.606
2026-05-26 20:37:02.864,92.711,80.544,9.628,9.629
2026-05-26 20:37:02.968,92.547,79.55,9.625,9.626
2026-05-26 20:37:03.070,91.781,79.345,9.627,9.625
2026-05-26 20:37:03.174,92.789,80.488,9.627,9.624
2026-05-26 20:37:03.277,92.896,80.022,9.627,9.625
2026-05-26 20:37:03.380,91.995,79.324,9.626,9.625
2026-05-26 20:37:03.483,92.99,79.715,9.627,9.621
2026-05-26 20:37:03.587,92.961,79.105,9.623,9.627
2026-05-26 20:37:03.690,91.765,79.287,9.626,9.625
2026-05-26 20:37:03.794,94.253,81.67,9.653,9.65
2026-05-26 20:37:03.897,91.374,78.612,9.653,9.655
2026-05-26 20:37:03.999,91.282,79.1,9.653,9.656
2026-05-26 20:37:04.101,91.95,79.573,9.655,9.654
2026-05-26 20:37:04.203,91.559,78.112,9.655,9.658
2026-05-26 20:37:04.316,100.892,88.22,9.63,9.628
2026-05-26 20:37:04.419,91.514,78.665,9.623,9.63
2026-05-26 20:37:04.522,91.616,79.341,9.625,9.623
2026-05-26 20:37:04.624,91.287,78.695,9.626,9.627
