timestamp,end_to_end_latency_ms,inference_latency_ms,end_to_end_fps,inference_fps
2026-05-26 12:01:47.026,125.396,111.898,7.238,7.237
2026-05-26 12:01:47.170,133.567,120.316,7.284,7.28
2026-05-26 12:01:47.294,103.109,88.198,7.348,7.358
2026-05-26 12:01:47.463,158.427,141.568,7.267,7.264
2026-05-26 12:01:47.604,128.562,113.498,7.301,7.302
2026-05-26 12:01:47.768,152.286,136.161,7.213,7.216
2026-05-26 12:01:47.895,116.34,103.551,7.175,7.179
2026-05-26 12:01:48.027,119.73,102.817,7.148,7.148
2026-05-26 12:01:48.202,162.699,149.171,7.043,7.043
2026-05-26 12:01:48.324,110.874,98.271,7.08,7.073
2026-05-26 12:01:48.480,144.447,130.655,7.027,7.029
2026-05-26 12:01:48.611,119.225,107.759,7.022,7.025
2026-05-26 12:01:48.746,120.636,105.806,7.003,7.011
2026-05-26 12:01:48.856,98.612,85.013,7.02,7.02
2026-05-26 12:01:49.044,175.454,162.489,6.9,6.904
2026-05-26 12:01:49.188,129.403,115.186,6.858,6.867
2026-05-26 12:01:49.326,125.21,112.706,6.876,6.875
2026-05-26 12:01:49.480,143.183,129.129,6.839,6.836
2026-05-26 12:01:49.607,116.169,103.965,6.853,6.854
2026-05-26 12:01:49.751,132.117,116.7,6.812,6.816
2026-05-26 12:01:49.872,110.743,98.385,6.82,6.823
2026-05-26 12:01:50.032,149.97,137.474,6.793,6.788
2026-05-26 12:01:50.159,115.831,103.101,6.802,6.802
2026-05-26 12:01:50.295,123.262,107.846,6.804,6.806
2026-05-26 12:01:50.428,117.408,104.599,6.834,6.842
2026-05-26 12:01:50.618,178.272,164.585,6.74,6.741
2026-05-26 12:01:50.744,112.12,99.844,6.739,6.741
2026-05-26 12:01:50.876,117.814,104.761,6.921,6.905
2026-05-26 12:01:51.008,119.999,107.27,7.041,7.044
2026-05-26 12:01:51.143,122.033,107.479,7.044,7.045
2026-05-26 12:01:51.304,149.981,133.673,7.014,7.018
2026-05-26 12:01:51.425,109.456,95.451,7.02,7.003
2026-05-26 12:01:51.579,143.205,127.845,7.046,7.047
2026-05-26 12:01:51.721,128.613,115.86,7.043,7.046
2026-05-26 12:01:51.835,101.113,87.565,7.131,7.132
2026-05-26 12:01:51.975,127.874,115.107,7.109,7.109
2026-05-26 12:01:52.158,174.4,161.211,7.02,7.015
2026-05-26 12:01:52.286,116.144,102.994,7.1,7.099
2026-05-26 12:01:52.406,109.041,91.787,7.104,7.104
2026-05-26 12:01:52.621,203.511,190.088,7.003,7.002
2026-05-26 12:01:52.751,115.214,103.172,7.006,7.011
2026-05-26 12:01:52.879,116.91,102.141,7.017,7.014
2026-05-26 12:01:53.016,124.538,110.306,6.972,6.973
2026-05-26 12:01:53.142,115.107,102.321,7.077,7.075
2026-05-26 12:01:53.276,122.827,106.162,7.094,7.086
2026-05-26 12:01:53.402,114.531,101.346,7.115,7.112
2026-05-26 12:01:53.553,138.995,123.198,7.121,7.124
2026-05-26 12:01:53.737,173.022,159.295,7.022,7.023
2026-05-26 12:01:53.843,94.708,83.132,7.086,7.083
2026-05-26 12:01:53.976,120.542,107.556,7.067,7.069
2026-05-26 12:01:54.125,135.899,122.136,7.085,7.093
2026-05-26 12:01:54.238,100.966,87.834,7.109,7.11
2026-05-26 12:01:54.383,133.065,118.018,7.095,7.095
2026-05-26 12:01:54.521,125.755,113.672,7.087,7.079
2026-05-26 12:01:54.692,160.591,145.073,7.118,7.118
2026-05-26 12:01:54.805,102.508,88.588,7.141,7.137
2026-05-26 12:01:54.930,112.857,99.715,7.154,7.15
2026-05-26 12:01:55.077,135.01,118.861,7.128,7.131
2026-05-26 12:01:55.270,182.005,168.454,7.028,7.027
2026-05-26 12:01:55.396,114.264,102.022,7.088,7.087
2026-05-26 12:01:55.564,155.385,141.314,7.007,7.01
2026-05-26 12:01:55.692,116.499,104.113,7.052,7.052
2026-05-26 12:01:55.808,105.127,89.733,7.097,7.091
2026-05-26 12:01:55.932,113.321,100.015,7.078,7.076
2026-05-26 12:01:56.304,359.001,344.879,6.699,6.699
2026-05-26 12:01:56.460,144.263,129.627,6.742,6.748
2026-05-26 12:01:56.593,121.162,106.658,6.733,6.735
2026-05-26 12:01:56.775,171.248,157.052,6.638,6.635
2026-05-26 12:01:56.895,107.841,95.023,6.786,6.786
2026-05-26 12:01:57.035,127.347,114.031,6.768,6.767
2026-05-26 12:01:57.175,125.186,111.441,6.751,6.755
2026-05-26 12:01:57.449,251.401,232.732,6.541,6.564
2026-05-26 12:01:57.878,416.996,398.554,6.123,6.124
2026-05-26 12:01:58.170,280.438,266.166,5.926,5.926
2026-05-26 12:01:58.385,203.608,190.694,5.82,5.82
2026-05-26 12:01:58.523,124.558,112.207,5.835,5.836
2026-05-26 12:01:58.685,150.494,135.547,5.862,5.861
2026-05-26 12:01:58.796,100.798,88.053,5.855,5.855
2026-05-26 12:01:58.921,113.755,100.633,5.865,5.863
2026-05-26 12:01:59.086,154.139,140.485,5.846,5.843
2026-05-26 12:01:59.201,103.682,90.916,5.843,5.843
2026-05-26 12:01:59.336,121.77,109.276,5.855,5.855
2026-05-26 12:01:59.452,103.039,89.787,5.88,5.882
2026-05-26 12:01:59.606,143.088,130.179,5.901,5.902
2026-05-26 12:01:59.769,151.997,138.609,5.842,5.841
2026-05-26 12:01:59.934,153.225,141.419,5.796,5.794
2026-05-26 12:02:00.073,125.044,113.36,5.804,5.804
2026-05-26 12:02:00.225,136.767,121.208,5.852,5.857
2026-05-26 12:02:00.349,111.783,99.506,5.855,5.855
2026-05-26 12:02:00.490,130.674,114.656,5.887,5.886
